rank,feature,brain_score
1,7Networks_RH_Default_Temp_2,0.9256053373850553
2,7Networks_LH_Cont_Temp_1,0.9117216611944067
3,7Networks_LH_Vis_5,0.9075732931868835
4,7Networks_LH_Default_Temp_2,0.9072274954460107
5,7Networks_LH_DorsAttn_Post_10,0.888784459185034
6,7Networks_LH_Limbic_TempPole_2,0.8823017308048129
7,7Networks_RH_DorsAttn_Post_10,0.8768345840978666
8,7Networks_LH_Limbic_TempPole_3,0.8630462107212629
9,7Networks_RH_SomMot_15,0.8619370908141761
10,7Networks_LH_Default_Temp_1,0.8596623118496919
11,7Networks_LH_Vis_9,0.8452313731857828
12,7Networks_RH_Default_PFCdPFCm_1,0.8444044912269483
13,7Networks_RH_Limbic_TempPole_1,0.8427083220097832
14,7Networks_LH_Default_PFC_2,0.8386709501675054
15,7Networks_LH_Limbic_TempPole_1,0.8345682422166042
16,7Networks_LH_Vis_11,0.8341433794081677
17,7Networks_RH_Limbic_TempPole_2,0.8304382665973059
18,7Networks_LH_SomMot_10,0.8279537087560914
19,7Networks_RH_Cont_Temp_1,0.8248834435401825
20,7Networks_RH_SomMot_19,0.8204151382895932
21,7Networks_LH_DorsAttn_Post_8,0.8189341201389511
22,7Networks_RH_Default_Temp_1,0.8184213388221758
23,7Networks_RH_Vis_8,0.804524994399377
24,7Networks_LH_SomMot_11,0.7966090694963258
25,7Networks_LH_SomMot_9,0.7958415329319554
26,7Networks_LH_SomMot_12,0.7921285295844352
27,7Networks_RH_Limbic_TempPole_3,0.7874409043765626
28,7Networks_RH_SomMot_12,0.7817678660474057
29,7Networks_RH_SalVentAttn_FrOperIns_1,0.7750186298128507
30,7Networks_RH_SomMot_13,0.7655661916971892
31,7Networks_LH_Limbic_TempPole_4,0.7452762885459927
32,7Networks_RH_Default_PFCdPFCm_3,0.7448530654109558
33,7Networks_RH_Default_Par_3,0.7429728519548247
34,7Networks_RH_SomMot_10,0.7429711937193852
35,7Networks_RH_Default_PFCdPFCm_2,0.7425739366442304
36,7Networks_RH_SomMot_14,0.7390942637406914
37,7Networks_RH_SomMot_9,0.7320395388091381
38,7Networks_RH_Vis_11,0.7247745634516631
39,7Networks_LH_SomMot_16,0.7237536860209546
40,7Networks_LH_SomMot_7,0.7227319695955747
41,7Networks_LH_SomMot_13,0.7226657735154142
42,7Networks_LH_SomMot_14,0.6984280823867719
43,7Networks_LH_Cont_PFCl_2,0.6909251658043796
44,7Networks_LH_DorsAttn_Post_2,0.6825378403766715
45,7Networks_LH_Limbic_OFC_2,0.6813192844443423
46,7Networks_LH_Default_Par_2,0.6803636128129039
47,7Networks_RH_Vis_14,0.6611510488377046
48,7Networks_LH_SomMot_6,0.6539430456744268
49,7Networks_RH_Cont_PFCl_2,0.6506692888711121
50,7Networks_RH_Cont_Par_1,0.6475859454992438
51,7Networks_RH_Vis_5,0.6475710294795289
52,7Networks_LH_Vis_14,0.639870066527189
53,7Networks_RH_Cont_PFCl_3,0.6394081855350727
54,7Networks_LH_Default_Temp_4,0.6382602318835179
55,7Networks_RH_DorsAttn_Post_6,0.6363799243071115
56,7Networks_LH_Default_PFC_11,0.6348209397887804
57,7Networks_LH_Default_Par_4,0.6244782909659041
58,7Networks_LH_Default_PFC_6,0.6213043676651078
59,7Networks_LH_Limbic_OFC_1,0.6173179295894685
60,7Networks_LH_Cont_Par_1,0.6168738664533114
61,7Networks_RH_DorsAttn_Post_8,0.6052524012009965
62,7Networks_RH_SomMot_17,0.605056934200431
63,7Networks_LH_DorsAttn_Post_7,0.6020220172366232
64,7Networks_RH_Default_Par_1,0.6005530172179576
65,7Networks_LH_Cont_Cing_2,0.5995970157738787
66,7Networks_LH_Default_Par_3,0.5914528405653938
67,7Networks_LH_Cont_OFC_1,0.5862803960126574
68,7Networks_RH_Limbic_OFC_1,0.5860963447814345
69,7Networks_RH_Vis_12,0.5846995639336255
70,7Networks_RH_Limbic_OFC_3,0.5716673115663382
71,7Networks_RH_Default_PFCdPFCm_5,0.5708957787732654
72,7Networks_RH_Limbic_OFC_2,0.5708448854363936
73,7Networks_LH_Vis_13,0.5706895701392771
74,7Networks_RH_SomMot_16,0.5697395934340327
75,7Networks_RH_SomMot_18,0.5691879689022193
76,7Networks_LH_SalVentAttn_ParOper_3,0.5643547773829934
77,7Networks_RH_SalVentAttn_Med_3,0.5539141498272235
78,7Networks_RH_Cont_PFCl_5,0.5508645554218284
79,7Networks_LH_Default_PFC_4,0.5503623088371608
80,7Networks_LH_Vis_3,0.5422235131161804
81,7Networks_LH_DorsAttn_Post_9,0.5320882718078893
82,7Networks_RH_Vis_1,0.5291259896626088
83,7Networks_RH_Default_Temp_4,0.5290532376728757
84,7Networks_LH_SalVentAttn_ParOper_2,0.5273755332145501
85,7Networks_RH_Default_Temp_3,0.5230979376074159
86,7Networks_RH_Cont_PFCl_1,0.5216857943353244
87,7Networks_LH_SomMot_15,0.5211387531688635
88,7Networks_LH_Default_PFC_9,0.5205404520076677
89,7Networks_LH_Vis_7,0.5170843365436472
90,7Networks_LH_Cont_Par_2,0.5168942270860393
91,7Networks_RH_Cont_Cing_2,0.5148667595339036
92,7Networks_LH_SalVentAttn_PFCl_1,0.5117342490021477
93,7Networks_LH_Cont_PFCl_1,0.501232199935953
94,7Networks_LH_Default_PFC_1,0.49973675168564585
95,7Networks_LH_DorsAttn_FEF_2,0.4976505961862869
96,7Networks_RH_SomMot_7,0.49595078502520556
97,7Networks_RH_Default_PFCdPFCm_7,0.49559274428510375
98,7Networks_RH_Cont_Par_3,0.4940397006892692
99,7Networks_LH_SalVentAttn_FrOperIns_1,0.4882454557599737
100,7Networks_LH_Default_PFC_13,0.4836995277282694
101,7Networks_LH_DorsAttn_FEF_1,0.48357926782818783
102,7Networks_RH_Cont_Par_2,0.47730656786556247
103,7Networks_LH_DorsAttn_Post_4,0.47430430106753924
104,7Networks_LH_SalVentAttn_Med_3,0.4719225975575519
105,7Networks_RH_DorsAttn_FEF_1,0.469549732331806
106,7Networks_LH_Default_PFC_5,0.46862108654277634
107,7Networks_RH_Default_PFCdPFCm_4,0.4665166113634473
108,7Networks_RH_Cont_PFCl_7,0.4540302763340517
109,7Networks_RH_DorsAttn_Post_9,0.4480910243126408
110,7Networks_LH_DorsAttn_Post_1,0.4423959564696243
111,7Networks_LH_Default_PFC_7,0.4422869032813682
112,7Networks_LH_Default_Temp_3,0.4338195145106685
113,7Networks_RH_Cont_PFCmp_2,0.43174525790748763
114,7Networks_RH_Cont_PFCmp_1,0.4289545455612799
115,7Networks_LH_Default_PFC_8,0.4274327263517038
116,7Networks_RH_Cont_PFCv_1,0.42232399790450753
117,7Networks_RH_DorsAttn_Post_3,0.4221163730154527
118,7Networks_LH_Cont_PFCl_3,0.4219981687845682
119,7Networks_RH_SalVentAttn_PrC_1,0.415993400531277
120,7Networks_RH_Vis_15,0.41209625860315363
121,7Networks_RH_DorsAttn_Post_1,0.41026390834042226
122,7Networks_RH_DorsAttn_Post_7,0.4102024334785721
123,7Networks_RH_Default_PFCdPFCm_6,0.4080256139854765
124,7Networks_LH_Cont_Par_3,0.40701392002067066
125,7Networks_RH_DorsAttn_Post_5,0.4066250057838115
126,7Networks_LH_DorsAttn_Post_5,0.3992580135714219
127,7Networks_LH_Default_PFC_12,0.3969878990251002
128,7Networks_LH_Default_PHC_1,0.39681526194763633
129,7Networks_LH_Cont_Cing_1,0.3949981010508756
130,7Networks_LH_Vis_8,0.3934552509798678
131,7Networks_RH_Vis_6,0.3914505735321665
132,7Networks_RH_SalVentAttn_Med_1,0.3843009048116036
133,7Networks_LH_SalVentAttn_Med_2,0.3816532953916125
134,7Networks_LH_Cont_pCun_1,0.37798045047834916
135,7Networks_LH_SalVentAttn_Med_1,0.37718193348525675
136,7Networks_RH_DorsAttn_FEF_2,0.37711390788218846
137,7Networks_LH_SomMot_8,0.37359377835204516
138,7Networks_RH_SomMot_8,0.3686571238411948
139,7Networks_RH_SomMot_2,0.3618553641648125
140,7Networks_RH_SomMot_11,0.3565272758274143
141,7Networks_RH_SalVentAttn_FrOperIns_2,0.35521629327037657
142,7Networks_LH_Default_PFC_3,0.3540078203361442
143,7Networks_RH_SomMot_5,0.3534417460409497
144,7Networks_LH_SalVentAttn_FrOperIns_4,0.3509805204340797
145,7Networks_RH_DorsAttn_PrCv_1,0.3469901658724677
146,7Networks_LH_SomMot_4,0.345126068122446
147,7Networks_RH_Cont_PFCl_6,0.32905217248109603
148,7Networks_RH_Default_Par_2,0.3259999680226066
149,7Networks_LH_DorsAttn_Post_6,0.3239317890834178
150,7Networks_LH_Vis_2,0.3209422055188424
151,7Networks_LH_Cont_PFCl_5,0.3197805546274995
152,7Networks_RH_Default_PFCv_1,0.31317383674384774
153,7Networks_RH_SomMot_4,0.31220760309478585
154,7Networks_RH_DorsAttn_Post_2,0.30998203280875514
155,7Networks_RH_SalVentAttn_Med_2,0.29866520094124793
156,7Networks_LH_DorsAttn_PrCv_1,0.29732557472605825
157,7Networks_RH_DorsAttn_Post_4,0.2960023654175459
158,7Networks_RH_SalVentAttn_FrOperIns_3,0.29177429945105854
159,7Networks_RH_SomMot_6,0.29034338191628994
160,7Networks_LH_SalVentAttn_FrOperIns_2,0.29032553089851953
161,7Networks_RH_SalVentAttn_FrOperIns_4,0.2882371822135402
162,7Networks_LH_SalVentAttn_ParOper_1,0.2870851144286239
163,7Networks_RH_SalVentAttn_TempOccPar_2,0.28569626307864554
164,7Networks_RH_SomMot_3,0.2844520220322926
165,7Networks_LH_SomMot_1,0.28436376449056955
166,7Networks_LH_SalVentAttn_FrOperIns_3,0.28203458240616963
167,7Networks_LH_Default_pCunPCC_3,0.27577158432240284
168,7Networks_LH_SomMot_5,0.2746617465347981
169,7Networks_LH_Vis_12,0.27431305170522424
170,7Networks_RH_SalVentAttn_TempOccPar_3,0.26989668801378014
171,7Networks_LH_SomMot_3,0.26662882722865605
172,7Networks_RH_Cont_pCun_1,0.2649021732274782
173,7Networks_RH_Cont_PFCl_4,0.2647917686397121
174,7Networks_LH_DorsAttn_Post_3,0.2550935304709326
175,7Networks_LH_SomMot_2,0.2515628486281783
176,7Networks_RH_SomMot_1,0.24741896460235074
177,7Networks_LH_Default_PFC_10,0.23318799797670559
178,7Networks_LH_Vis_6,0.22721055758613667
179,7Networks_RH_Vis_2,0.22378312883164184
180,7Networks_LH_Default_Temp_5,0.22253787944056044
181,7Networks_LH_Vis_1,0.21781350970933042
182,7Networks_LH_Default_pCunPCC_4,0.21392370889071582
183,7Networks_LH_Cont_PFCl_4,0.2065691162281152
184,7Networks_RH_Vis_13,0.1980771576386083
185,7Networks_RH_Cont_Cing_1,0.19317896509959967
186,7Networks_RH_Default_pCunPCC_1,0.19299752993602332
187,7Networks_RH_Vis_3,0.18518893147675766
188,7Networks_LH_Default_Par_1,0.183453011430615
189,7Networks_LH_Default_pCunPCC_1,0.18182498598547517
190,7Networks_RH_Default_Temp_5,0.18073869922771188
191,7Networks_LH_Default_pCunPCC_2,0.17852109105745673
192,7Networks_RH_SalVentAttn_TempOccPar_1,0.17683705175601935
193,7Networks_RH_Default_pCunPCC_3,0.1733724748597167
194,7Networks_LH_Vis_10,0.15342319807637642
195,7Networks_RH_Vis_7,0.1425006475785477
196,7Networks_RH_Default_pCunPCC_2,0.14090478685839833
197,7Networks_LH_Vis_4,0.13768795849323823
198,7Networks_RH_Vis_9,0.13258666133271405
199,7Networks_RH_Vis_10,0.130291705381721
200,7Networks_RH_Vis_4,0.1153379668852688
