rank,feature,brain_score
1,7Networks_RH_Cont_PFCl_7,0.9808303248654253
2,7Networks_RH_Cont_PFCmp_2,0.9761693550905013
3,7Networks_RH_Cont_PFCl_4,0.9625011221464077
4,7Networks_LH_SomMot_16,0.9232495929587609
5,7Networks_RH_Limbic_OFC_1,0.9225079313926994
6,7Networks_RH_Default_PFCdPFCm_4,0.8680679332759886
7,7Networks_RH_Limbic_TempPole_3,0.8673052223804094
8,7Networks_RH_SomMot_1,0.8518237871242246
9,7Networks_RH_Default_PFCdPFCm_5,0.8434396949506325
10,7Networks_RH_SomMot_19,0.843168257435813
11,7Networks_RH_Default_PFCv_1,0.8336958174513386
12,7Networks_RH_Cont_Temp_1,0.8280989781142022
13,7Networks_LH_SomMot_13,0.8230292932045709
14,7Networks_LH_Default_pCunPCC_4,0.8214960983636181
15,7Networks_RH_Limbic_OFC_3,0.7956928339041159
16,7Networks_RH_SomMot_17,0.7773565448770556
17,7Networks_LH_Limbic_TempPole_4,0.7721828434199552
18,7Networks_LH_Default_PFC_4,0.7696938664424487
19,7Networks_LH_DorsAttn_Post_9,0.763110108572426
20,7Networks_LH_Limbic_TempPole_1,0.7600025983602465
21,7Networks_LH_SomMot_3,0.7549048647732622
22,7Networks_LH_Default_Temp_2,0.7542484121834353
23,7Networks_RH_DorsAttn_Post_9,0.751810961704231
24,7Networks_RH_Default_pCunPCC_3,0.744771008515879
25,7Networks_LH_Limbic_OFC_2,0.7417522976666607
26,7Networks_RH_Limbic_TempPole_2,0.7353364583556746
27,7Networks_RH_Default_Par_2,0.7223526944464002
28,7Networks_LH_Default_PFC_13,0.7183974163883968
29,7Networks_RH_SomMot_2,0.7165924600997464
30,7Networks_RH_Limbic_TempPole_1,0.7128425109538649
31,7Networks_LH_Limbic_OFC_1,0.7080317922179205
32,7Networks_RH_SomMot_18,0.6975512642419462
33,7Networks_RH_SalVentAttn_TempOccPar_2,0.6966999589138078
34,7Networks_RH_Default_Temp_2,0.6912586073131726
35,7Networks_RH_Cont_PFCl_1,0.6906651835294189
36,7Networks_RH_SalVentAttn_TempOccPar_1,0.6903344891021802
37,7Networks_RH_SomMot_15,0.6891112846257103
38,7Networks_RH_Default_pCunPCC_2,0.6890807482211332
39,7Networks_RH_Limbic_OFC_2,0.6870684652928954
40,7Networks_LH_SalVentAttn_Med_2,0.6865104864166762
41,7Networks_LH_SomMot_12,0.6816021145861295
42,7Networks_LH_SomMot_2,0.6705582376339587
43,7Networks_LH_Default_PFC_10,0.6680473231473812
44,7Networks_RH_Default_Temp_4,0.6677735919487108
45,7Networks_LH_SomMot_15,0.6602886229346078
46,7Networks_LH_SomMot_8,0.6585020889465685
47,7Networks_RH_SomMot_8,0.6512993188442406
48,7Networks_LH_DorsAttn_Post_10,0.6421701357267177
49,7Networks_LH_DorsAttn_Post_8,0.6402317103956718
50,7Networks_LH_SomMot_1,0.6388885577086407
51,7Networks_RH_SomMot_11,0.632423726140866
52,7Networks_LH_Limbic_TempPole_2,0.6312493290092391
53,7Networks_RH_SomMot_14,0.6249599635231972
54,7Networks_RH_Cont_PFCv_1,0.6155701743608611
55,7Networks_RH_DorsAttn_Post_1,0.6129761088077986
56,7Networks_LH_Vis_2,0.6115129149588103
57,7Networks_RH_SalVentAttn_Med_2,0.6092631894417881
58,7Networks_RH_SalVentAttn_FrOperIns_1,0.6043692218827937
59,7Networks_RH_SomMot_16,0.6038963803621828
60,7Networks_RH_SalVentAttn_PrC_1,0.6029958658117405
61,7Networks_LH_Cont_PFCl_1,0.5998021371447897
62,7Networks_LH_Vis_5,0.5977865383050197
63,7Networks_RH_Default_PFCdPFCm_7,0.5942395072383625
64,7Networks_RH_Vis_6,0.5924389190425329
65,7Networks_RH_SomMot_12,0.5915424356407976
66,7Networks_RH_DorsAttn_PrCv_1,0.5912079927525972
67,7Networks_LH_Cont_Temp_1,0.5895769168637711
68,7Networks_RH_SalVentAttn_Med_3,0.5891250065470242
69,7Networks_LH_SalVentAttn_PFCl_1,0.588121579283522
70,7Networks_LH_SomMot_10,0.5808255516331348
71,7Networks_LH_Default_PFC_5,0.5807573422598921
72,7Networks_LH_Cont_Cing_2,0.580650706030794
73,7Networks_LH_DorsAttn_Post_1,0.5805115015663892
74,7Networks_RH_DorsAttn_Post_10,0.578326739703469
75,7Networks_LH_SomMot_14,0.5781548272390196
76,7Networks_RH_DorsAttn_FEF_1,0.5774974380817077
77,7Networks_LH_Default_PHC_1,0.5772200711737325
78,7Networks_LH_SomMot_5,0.5759027088172012
79,7Networks_RH_Vis_3,0.5710857094100616
80,7Networks_RH_Vis_1,0.5703242205066683
81,7Networks_LH_Cont_pCun_1,0.568528455953501
82,7Networks_RH_Vis_10,0.5657530161488935
83,7Networks_LH_Limbic_TempPole_3,0.5625685200080512
84,7Networks_LH_Vis_7,0.5610446353575224
85,7Networks_LH_Cont_OFC_1,0.5577052180548763
86,7Networks_LH_SomMot_7,0.5564477893312618
87,7Networks_RH_SomMot_4,0.5554130718620662
88,7Networks_RH_Default_Temp_5,0.5413159935686725
89,7Networks_RH_SomMot_13,0.533994255713696
90,7Networks_RH_Default_PFCdPFCm_6,0.5286091886638968
91,7Networks_LH_Vis_6,0.5256028348864709
92,7Networks_RH_Cont_Cing_2,0.5256004894598624
93,7Networks_LH_Cont_Par_2,0.5255840804364047
94,7Networks_LH_Default_PFC_11,0.5221289968003416
95,7Networks_RH_Default_Temp_3,0.5191468476206744
96,7Networks_RH_Vis_12,0.5101890369182182
97,7Networks_LH_Cont_PFCl_3,0.5096047262716188
98,7Networks_LH_Default_PFC_2,0.5087085397960146
99,7Networks_LH_Default_PFC_12,0.5051102420460383
100,7Networks_RH_Cont_PFCl_2,0.5007142092141896
101,7Networks_LH_Cont_PFCl_4,0.49996063385116923
102,7Networks_RH_SomMot_3,0.497243572147172
103,7Networks_RH_Cont_PFCl_6,0.4930997834737721
104,7Networks_LH_Cont_Cing_1,0.49041544723291386
105,7Networks_LH_Default_pCunPCC_2,0.4902496479743199
106,7Networks_LH_Default_pCunPCC_3,0.4884006739189539
107,7Networks_LH_SalVentAttn_Med_3,0.48560708919036416
108,7Networks_RH_Cont_PFCl_5,0.48203476520764693
109,7Networks_LH_Cont_PFCl_2,0.4780696690394265
110,7Networks_LH_DorsAttn_Post_7,0.46429351911534117
111,7Networks_RH_SalVentAttn_FrOperIns_3,0.45902232716085467
112,7Networks_RH_Default_pCunPCC_1,0.4572432843871761
113,7Networks_LH_DorsAttn_FEF_1,0.45652403223838217
114,7Networks_RH_DorsAttn_Post_2,0.45108551108676764
115,7Networks_LH_DorsAttn_PrCv_1,0.4484114288959145
116,7Networks_RH_Cont_Cing_1,0.44128810022717785
117,7Networks_RH_DorsAttn_Post_6,0.44017711271113846
118,7Networks_LH_SomMot_11,0.4373042202851475
119,7Networks_RH_SomMot_6,0.42969087746828677
120,7Networks_RH_DorsAttn_Post_8,0.42528181617463473
121,7Networks_LH_Vis_4,0.42444982615698257
122,7Networks_RH_Default_PFCdPFCm_2,0.41870958458950003
123,7Networks_RH_SalVentAttn_FrOperIns_2,0.41524516033412695
124,7Networks_LH_DorsAttn_Post_6,0.4082861291317818
125,7Networks_RH_DorsAttn_Post_7,0.40522258922182874
126,7Networks_LH_SalVentAttn_Med_1,0.4047769505432239
127,7Networks_RH_Vis_9,0.40469358346425344
128,7Networks_RH_Default_Par_1,0.4011766237752069
129,7Networks_RH_Vis_4,0.3925168089729876
130,7Networks_LH_Cont_Par_1,0.3860389659026592
131,7Networks_LH_SalVentAttn_FrOperIns_4,0.384638583761637
132,7Networks_LH_Vis_8,0.38312239211038457
133,7Networks_LH_Default_PFC_1,0.38057544262725596
134,7Networks_RH_SomMot_5,0.3805570026033081
135,7Networks_LH_SalVentAttn_FrOperIns_3,0.3799697318117336
136,7Networks_RH_DorsAttn_FEF_2,0.3746125673150175
137,7Networks_RH_SomMot_10,0.37193871048107535
138,7Networks_RH_Default_Temp_1,0.36606059026532306
139,7Networks_LH_Default_pCunPCC_1,0.3657110697523905
140,7Networks_LH_DorsAttn_Post_3,0.36562338300550073
141,7Networks_LH_SalVentAttn_FrOperIns_2,0.363458476129493
142,7Networks_LH_SalVentAttn_ParOper_3,0.3617433033189741
143,7Networks_LH_Cont_PFCl_5,0.3562231242845408
144,7Networks_LH_SomMot_4,0.3536118172664513
145,7Networks_RH_SalVentAttn_Med_1,0.3498863068809912
