rank,feature,brain_score
1,7Networks_RH_Vis_6,0.9587123070493608
2,7Networks_RH_Limbic_TempPole_1,0.9091491784059641
3,7Networks_LH_Default_Par_4,0.9026146283175185
4,7Networks_LH_Vis_7,0.8829549159273615
5,7Networks_RH_Cont_Temp_1,0.8783633261604078
6,7Networks_RH_Default_Par_1,0.8736788738155146
7,7Networks_LH_Vis_14,0.8708504203433308
8,7Networks_RH_Cont_Par_3,0.8603267349135706
9,7Networks_LH_Limbic_TempPole_1,0.8536542053643889
10,7Networks_LH_SomMot_11,0.8461890612096387
11,7Networks_LH_Default_Par_2,0.8420591979960086
12,7Networks_LH_DorsAttn_Post_2,0.8391010105409885
13,7Networks_RH_DorsAttn_Post_8,0.8389472847567986
14,7Networks_LH_Cont_Par_1,0.8361674432922565
15,7Networks_LH_Default_Temp_1,0.834928539252239
16,7Networks_RH_Default_PFCdPFCm_1,0.8265035513814797
17,7Networks_RH_Limbic_OFC_3,0.820509139398207
18,7Networks_RH_Default_Par_3,0.8132728980042548
19,7Networks_LH_Limbic_OFC_2,0.8123715487882719
20,7Networks_RH_Vis_15,0.8092761256721654
21,7Networks_LH_DorsAttn_Post_7,0.809270799382412
22,7Networks_RH_Limbic_OFC_1,0.8076375118450433
23,7Networks_RH_Default_Temp_1,0.8071354779543835
24,7Networks_RH_DorsAttn_Post_2,0.8063979528744644
25,7Networks_RH_SomMot_19,0.8018891082462576
26,7Networks_RH_Vis_11,0.8012284577436639
27,7Networks_RH_Cont_Par_1,0.7957377678187738
28,7Networks_RH_Vis_12,0.7911017473106121
29,7Networks_RH_DorsAttn_Post_10,0.7881862066046624
30,7Networks_LH_Default_PFC_4,0.7874939735150972
31,7Networks_RH_Default_Temp_2,0.7848400225890372
32,7Networks_LH_DorsAttn_Post_10,0.78437964869523
33,7Networks_LH_Vis_2,0.7820344218536719
34,7Networks_RH_SalVentAttn_FrOperIns_1,0.7803822338368077
35,7Networks_RH_SomMot_15,0.7734307112425262
36,7Networks_LH_Limbic_TempPole_3,0.7686902938512143
37,7Networks_RH_Cont_Par_2,0.7683938371655316
38,7Networks_LH_DorsAttn_Post_3,0.7675880043727975
39,7Networks_RH_Vis_5,0.7525416250022284
40,7Networks_LH_Default_Par_3,0.7520841998766631
41,7Networks_LH_Vis_8,0.7499294055263515
42,7Networks_RH_DorsAttn_Post_6,0.7456483720055053
43,7Networks_RH_SomMot_16,0.7406451238772249
44,7Networks_LH_Limbic_TempPole_4,0.7323183267714709
45,7Networks_LH_Vis_13,0.7275134683770004
46,7Networks_RH_Vis_14,0.7261548604404349
47,7Networks_LH_Cont_Par_2,0.7255501670279723
48,7Networks_LH_SomMot_16,0.7234768726320524
49,7Networks_LH_DorsAttn_Post_8,0.7140269298602271
50,7Networks_RH_SomMot_13,0.7065520958562804
51,7Networks_LH_Vis_3,0.7053759306605605
52,7Networks_LH_SomMot_13,0.7053018277980645
53,7Networks_LH_SomMot_12,0.7019380139634865
54,7Networks_LH_SomMot_14,0.7011232745432042
55,7Networks_RH_Limbic_TempPole_2,0.6912444732007971
56,7Networks_LH_SomMot_9,0.6853522506451669
57,7Networks_RH_Cont_pCun_1,0.6715230270146738
58,7Networks_LH_DorsAttn_Post_6,0.6657036628915536
59,7Networks_RH_DorsAttn_Post_9,0.6503139322938399
60,7Networks_RH_Limbic_TempPole_3,0.6355387745217842
61,7Networks_RH_Vis_13,0.6236413674299838
62,7Networks_RH_Vis_9,0.6024497378226631
63,7Networks_LH_SalVentAttn_ParOper_3,0.6013469226355012
64,7Networks_LH_Vis_11,0.5984247410505188
65,7Networks_RH_SomMot_10,0.5939010152690943
66,7Networks_LH_Cont_OFC_1,0.5897934964634862
67,7Networks_LH_Cont_pCun_1,0.5812210931400077
68,7Networks_RH_SomMot_18,0.5768711670852751
69,7Networks_RH_Default_Par_2,0.556698898293392
70,7Networks_RH_Cont_PFCl_7,0.5480141254537741
71,7Networks_RH_SomMot_17,0.5476464710438497
72,7Networks_LH_SomMot_10,0.5396735092210438
73,7Networks_LH_Limbic_OFC_1,0.5386359226382937
74,7Networks_RH_Default_pCunPCC_3,0.5371965670032107
75,7Networks_LH_Default_Temp_2,0.5354762264113795
76,7Networks_RH_SalVentAttn_Med_3,0.5353341146234567
77,7Networks_RH_DorsAttn_Post_7,0.5350416978568686
78,7Networks_LH_Default_PFC_2,0.5270895466351375
79,7Networks_RH_SomMot_14,0.5260347283749228
80,7Networks_LH_Cont_Par_3,0.5242063804625237
81,7Networks_LH_Vis_5,0.5226259638730992
82,7Networks_LH_Vis_12,0.5219895619343662
83,7Networks_LH_SomMot_7,0.5199844955611512
84,7Networks_RH_Vis_3,0.5194649069497885
85,7Networks_RH_DorsAttn_Post_1,0.5159881292429491
86,7Networks_LH_DorsAttn_Post_5,0.5140802734378678
87,7Networks_RH_DorsAttn_FEF_2,0.49161829616071256
88,7Networks_LH_Cont_PFCl_2,0.4904733864248248
89,7Networks_RH_Vis_8,0.4705664886421634
90,7Networks_RH_SomMot_9,0.47010493854825375
91,7Networks_RH_SalVentAttn_PrC_1,0.46689126178794715
92,7Networks_RH_DorsAttn_FEF_1,0.46259723380975015
93,7Networks_RH_Cont_PFCmp_1,0.45787260330199414
94,7Networks_LH_Limbic_TempPole_2,0.45758867022236666
95,7Networks_RH_SalVentAttn_TempOccPar_3,0.4565226797078106
96,7Networks_LH_Default_PFC_11,0.45349658754836547
97,7Networks_RH_Default_PFCdPFCm_4,0.45275045582036466
98,7Networks_LH_Default_PFC_6,0.4511308419899942
99,7Networks_LH_DorsAttn_FEF_2,0.4466143724731829
100,7Networks_LH_DorsAttn_Post_4,0.4370792789287206
101,7Networks_RH_Limbic_OFC_2,0.4349783463682002
102,7Networks_LH_Default_Par_1,0.43159804933751766
103,7Networks_LH_DorsAttn_FEF_1,0.42932968066945637
104,7Networks_LH_DorsAttn_Post_9,0.4240688493744264
105,7Networks_RH_Cont_PFCl_1,0.41870540087186003
106,7Networks_RH_SomMot_12,0.4163975177614471
107,7Networks_LH_Default_PFC_13,0.4121040040485046
108,7Networks_RH_Default_Temp_4,0.41038162420545277
109,7Networks_RH_DorsAttn_Post_4,0.4023862312663562
110,7Networks_LH_Vis_4,0.39847962256670644
111,7Networks_LH_SomMot_15,0.396927319467285
112,7Networks_LH_Default_PFC_8,0.3949477256403941
113,7Networks_LH_Vis_9,0.3864883850013257
114,7Networks_LH_Default_PFC_1,0.38610495137205486
115,7Networks_RH_Default_PFCdPFCm_2,0.3819525006587641
116,7Networks_LH_SalVentAttn_ParOper_2,0.3771200724916588
117,7Networks_RH_Cont_PFCv_1,0.37353062157640493
118,7Networks_LH_SalVentAttn_Med_2,0.3733590158575868
119,7Networks_RH_SalVentAttn_Med_1,0.3727475910427239
120,7Networks_RH_Default_Temp_3,0.3702688021804932
121,7Networks_LH_SalVentAttn_Med_3,0.3662435317873935
122,7Networks_RH_SalVentAttn_FrOperIns_2,0.3660795581842877
123,7Networks_RH_Default_PFCdPFCm_3,0.36389041654430393
124,7Networks_RH_SomMot_7,0.36388831469362093
125,7Networks_RH_DorsAttn_Post_3,0.3620541662414345
126,7Networks_LH_Default_PFC_7,0.36073450260394063
127,7Networks_LH_SomMot_1,0.3598909409325128
128,7Networks_LH_Default_Temp_3,0.3524196414891531
129,7Networks_RH_SalVentAttn_Med_2,0.3522842840093742
130,7Networks_RH_SomMot_11,0.3519513771576435
131,7Networks_LH_SalVentAttn_FrOperIns_1,0.35102813461219695
132,7Networks_LH_Cont_PFCl_5,0.34629165877302837
133,7Networks_RH_SalVentAttn_TempOccPar_2,0.34554409916571655
134,7Networks_LH_Default_PFC_9,0.3371414747879334
135,7Networks_RH_Vis_4,0.3326497862189306
136,7Networks_LH_SalVentAttn_FrOperIns_3,0.33099236583840824
137,7Networks_RH_SomMot_2,0.32975485586005104
138,7Networks_RH_DorsAttn_Post_5,0.32844002962798946
139,7Networks_LH_Vis_10,0.3282003100426655
140,7Networks_LH_SomMot_6,0.3256782210188466
141,7Networks_RH_Vis_7,0.31766364231135097
142,7Networks_LH_SomMot_3,0.31570342811674196
143,7Networks_RH_Cont_Cing_2,0.3154254036974652
144,7Networks_RH_SalVentAttn_TempOccPar_1,0.31151421414455066
145,7Networks_RH_Vis_1,0.3104013383528042
146,7Networks_RH_Default_PFCv_1,0.30994931623725647
147,7Networks_LH_Cont_Temp_1,0.3061679565341521
148,7Networks_RH_Default_PFCdPFCm_7,0.3058508530585032
149,7Networks_LH_SalVentAttn_PFCl_1,0.3047830241395083
150,7Networks_RH_Cont_PFCl_6,0.3035251909244378
151,7Networks_LH_Cont_PFCl_1,0.3031907200422929
152,7Networks_RH_Cont_PFCmp_2,0.3010143450818843
153,7Networks_RH_Vis_10,0.29723360919289515
154,7Networks_RH_SalVentAttn_FrOperIns_4,0.2956975466782114
155,7Networks_RH_SomMot_5,0.29383639225125224
156,7Networks_LH_Default_PHC_1,0.2934916608383164
157,7Networks_LH_Default_pCunPCC_4,0.2885017737869164
158,7Networks_LH_SalVentAttn_FrOperIns_2,0.2882604382985243
159,7Networks_RH_SomMot_6,0.2809153445684207
160,7Networks_RH_Default_PFCdPFCm_5,0.2800113896339298
161,7Networks_RH_Cont_PFCl_2,0.27920991046958743
162,7Networks_LH_Default_PFC_3,0.27826590842299714
163,7Networks_RH_Vis_2,0.2778290432797812
164,7Networks_RH_Default_Temp_5,0.2765494013502497
