rank,feature,brain_score
1,7Networks_RH_Vis_6,0.9487200706318291
2,7Networks_RH_Limbic_TempPole_1,0.9325057308821736
3,7Networks_LH_Vis_7,0.8999645110440737
4,7Networks_LH_Default_Temp_1,0.8861141919772049
5,7Networks_RH_Cont_Temp_1,0.8842628503244738
6,7Networks_LH_SomMot_11,0.8719368059751316
7,7Networks_RH_Limbic_OFC_3,0.8678019856649866
8,7Networks_RH_Default_Temp_1,0.8602591682435659
9,7Networks_LH_Limbic_TempPole_1,0.8577453144636259
10,7Networks_LH_Default_Par_4,0.8543913868951244
11,7Networks_LH_DorsAttn_Post_2,0.8541038085298345
12,7Networks_RH_DorsAttn_Post_2,0.8409449169611201
13,7Networks_LH_Limbic_OFC_2,0.8397544428175399
14,7Networks_LH_Vis_14,0.8372519487444483
15,7Networks_RH_SomMot_19,0.8257579872056767
16,7Networks_RH_Default_PFCdPFCm_1,0.8211648878812603
17,7Networks_RH_Default_Par_1,0.8189965591622845
18,7Networks_RH_Cont_Par_3,0.8157385575845536
19,7Networks_LH_Vis_2,0.8127233942247704
20,7Networks_RH_Limbic_OFC_1,0.8046088595512911
21,7Networks_LH_Default_PFC_4,0.8045347870240964
22,7Networks_RH_DorsAttn_Post_8,0.7995561655747156
23,7Networks_LH_Default_Par_2,0.7924521560312224
24,7Networks_LH_DorsAttn_Post_10,0.7918076484401112
25,7Networks_RH_Vis_11,0.7909544095478889
26,7Networks_LH_Limbic_TempPole_3,0.784450663524876
27,7Networks_LH_Cont_Par_1,0.7827672232280827
28,7Networks_LH_Vis_13,0.7731991973791076
29,7Networks_RH_Cont_Par_1,0.7697636026471354
30,7Networks_RH_Default_Par_3,0.767429124317552
31,7Networks_RH_SomMot_13,0.7656110658608661
32,7Networks_LH_Vis_8,0.7653362280522584
33,7Networks_RH_Vis_5,0.7635397390386836
34,7Networks_LH_DorsAttn_Post_3,0.7628444857337198
35,7Networks_RH_Vis_15,0.7603706540997783
36,7Networks_RH_DorsAttn_Post_10,0.7584208952928132
37,7Networks_RH_SalVentAttn_FrOperIns_1,0.755391299423486
