rank,feature,brain_score
1,7Networks_RH_Cont_PFCl_7,0.9455863292967408
2,7Networks_RH_Limbic_OFC_3,0.9247809153762857
3,7Networks_RH_Limbic_OFC_1,0.9234093307233316
4,7Networks_RH_Default_pCunPCC_3,0.9168094778760915
5,7Networks_RH_Default_PFCdPFCm_4,0.9151746326975699
6,7Networks_LH_DorsAttn_Post_9,0.9146594075226435
7,7Networks_RH_DorsAttn_Post_9,0.8981932422770013
8,7Networks_LH_SomMot_16,0.8846830475790304
9,7Networks_LH_Default_pCunPCC_4,0.8837628900656723
10,7Networks_RH_Cont_PFCmp_2,0.8795601729257098
11,7Networks_LH_DorsAttn_Post_10,0.8754711662981826
12,7Networks_LH_SomMot_13,0.8604521213855176
13,7Networks_RH_DorsAttn_Post_10,0.8525880000597664
14,7Networks_RH_Default_pCunPCC_2,0.8298682331697068
15,7Networks_RH_SomMot_18,0.8150315431358699
16,7Networks_RH_SomMot_17,0.8118223313057819
17,7Networks_RH_SomMot_16,0.8096325236326433
18,7Networks_LH_SalVentAttn_Med_2,0.8084932795796282
19,7Networks_LH_DorsAttn_Post_8,0.7911997252448519
20,7Networks_RH_Default_Par_2,0.7881497736614808
21,7Networks_RH_Cont_PFCl_4,0.780251374941961
22,7Networks_RH_SomMot_19,0.7798440656041575
23,7Networks_LH_SomMot_15,0.7778178632977608
24,7Networks_RH_Limbic_OFC_2,0.7775466043724765
25,7Networks_RH_Vis_6,0.7605242650816181
26,7Networks_RH_Default_PFCv_1,0.7308811537487271
27,7Networks_LH_SomMot_8,0.7294716518280276
28,7Networks_LH_DorsAttn_Post_7,0.7281753694323765
29,7Networks_RH_SomMot_13,0.7216113230059544
30,7Networks_RH_SomMot_12,0.706858752383497
31,7Networks_RH_Cont_PFCl_2,0.704839659781555
32,7Networks_LH_Limbic_OFC_2,0.7021444435397382
33,7Networks_RH_Limbic_TempPole_3,0.6973996053343551
34,7Networks_RH_SomMot_15,0.6935805469343814
35,7Networks_LH_SomMot_3,0.6916199117069046
36,7Networks_LH_Vis_5,0.6822973802208727
37,7Networks_RH_SomMot_11,0.6783300094842348
38,7Networks_RH_Vis_3,0.6775338970605768
39,7Networks_LH_SomMot_5,0.6738874122632921
40,7Networks_RH_Default_PFCdPFCm_5,0.6636216433383247
41,7Networks_RH_Cont_PFCl_1,0.6614235545013736
42,7Networks_RH_Cont_Temp_1,0.6612278460959593
43,7Networks_LH_Vis_2,0.6611730927558831
44,7Networks_RH_SalVentAttn_Med_2,0.6587112071272756
45,7Networks_LH_SomMot_11,0.6547377334842436
46,7Networks_RH_SomMot_14,0.6495367400801256
47,7Networks_RH_SomMot_1,0.6478984940685506
48,7Networks_LH_Default_PFC_2,0.6386579762386417
49,7Networks_LH_SalVentAttn_PFCl_1,0.6354199152641323
50,7Networks_LH_Cont_Cing_2,0.6329757761439953
51,7Networks_RH_SalVentAttn_Med_3,0.6298783145529716
52,7Networks_RH_Default_Temp_2,0.6272864954886794
53,7Networks_RH_SalVentAttn_FrOperIns_1,0.6202205792431555
54,7Networks_RH_Cont_PFCv_1,0.619103037719214
55,7Networks_LH_Vis_7,0.618308216018665
56,7Networks_LH_Limbic_TempPole_4,0.6176225384746097
57,7Networks_RH_DorsAttn_Post_8,0.6155826035127312
58,7Networks_LH_Limbic_OFC_1,0.6131005460133457
59,7Networks_RH_Vis_12,0.6025720263487453
60,7Networks_LH_Default_pCunPCC_2,0.6014746293123054
61,7Networks_RH_Default_PFCdPFCm_2,0.5980128845385542
62,7Networks_RH_Limbic_TempPole_2,0.5911895144658452
63,7Networks_LH_SalVentAttn_Med_3,0.588602812021456
64,7Networks_LH_Default_PFC_10,0.5876655826789001
65,7Networks_LH_Vis_4,0.5872032087565174
66,7Networks_RH_SalVentAttn_TempOccPar_1,0.5841429484182745
67,7Networks_RH_Cont_Cing_1,0.5839265454444875
68,7Networks_LH_SomMot_12,0.5802854998851331
69,7Networks_LH_Default_pCunPCC_3,0.5782821627062887
70,7Networks_RH_SomMot_4,0.5761263515133115
71,7Networks_LH_Limbic_TempPole_1,0.5745042529827686
72,7Networks_RH_DorsAttn_Post_6,0.5722641835149341
73,7Networks_RH_Cont_PFCl_5,0.5715123261904432
74,7Networks_RH_Cont_Par_3,0.568793301610137
75,7Networks_LH_SomMot_14,0.5678099112070644
