rank,feature,brain_score
1,7Networks_LH_Vis_5,0.9210251150371717
2,7Networks_RH_Default_Temp_2,0.9110583734311715
3,7Networks_LH_Default_Temp_2,0.9109446769661893
4,7Networks_LH_Cont_Temp_1,0.8969654246238485
5,7Networks_LH_Limbic_TempPole_2,0.8914239747703123
6,7Networks_LH_DorsAttn_Post_10,0.8909759958475608
7,7Networks_RH_Default_PFCdPFCm_1,0.8780178207205147
8,7Networks_RH_DorsAttn_Post_10,0.8732056189056955
9,7Networks_LH_Limbic_TempPole_3,0.8710469789886811
10,7Networks_LH_Default_Temp_1,0.8691911285339151
11,7Networks_LH_Default_PFC_2,0.8606656615185886
12,7Networks_RH_SomMot_15,0.8458679710228812
13,7Networks_LH_Vis_9,0.8451457290952619
14,7Networks_LH_Vis_11,0.8366856974184058
15,7Networks_RH_Limbic_TempPole_1,0.8309946975552537
16,7Networks_RH_Limbic_TempPole_2,0.829095162609842
17,7Networks_LH_SomMot_10,0.8288232981027133
18,7Networks_RH_Default_Temp_1,0.8232261843876031
19,7Networks_RH_Vis_8,0.8212121708977395
20,7Networks_RH_Cont_Temp_1,0.8186366146660831
21,7Networks_LH_DorsAttn_Post_8,0.8138965493307434
22,7Networks_LH_Limbic_TempPole_1,0.8107935684827439
23,7Networks_RH_SomMot_19,0.8083105400437833
24,7Networks_LH_SomMot_12,0.8082752182871679
25,7Networks_LH_SomMot_9,0.8055849266974694
26,7Networks_RH_Limbic_TempPole_3,0.7987938914191864
27,7Networks_LH_SomMot_11,0.797718563910323
28,7Networks_RH_Default_PFCdPFCm_2,0.7701315252179679
29,7Networks_RH_SalVentAttn_FrOperIns_1,0.7684521560317774
30,7Networks_RH_SomMot_12,0.7590583818760022
31,7Networks_LH_Limbic_TempPole_4,0.7547519642578755
32,7Networks_RH_SomMot_13,0.7485553652884616
33,7Networks_RH_Default_Par_3,0.7456113071245851
34,7Networks_RH_SomMot_14,0.7394836273976015
35,7Networks_RH_Vis_11,0.7316250217467326
36,7Networks_RH_Default_PFCdPFCm_3,0.7239654913316779
37,7Networks_LH_SomMot_13,0.7231957853547405
38,7Networks_LH_Cont_PFCl_2,0.7190953324872896
39,7Networks_LH_SomMot_16,0.7186116075847478
40,7Networks_RH_SomMot_10,0.7133391216231144
41,7Networks_RH_SomMot_9,0.7112968397348773
42,7Networks_LH_SomMot_7,0.706763073802062
43,7Networks_LH_SomMot_14,0.7018574351356289
44,7Networks_LH_Limbic_OFC_2,0.687507721764333
45,7Networks_RH_Vis_14,0.6715161864594922
46,7Networks_LH_Default_Par_2,0.6651426100379261
47,7Networks_RH_Cont_PFCl_2,0.6651176170517538
48,7Networks_LH_DorsAttn_Post_2,0.6648807836961779
49,7Networks_RH_Vis_5,0.6481476264533483
50,7Networks_LH_Default_PFC_6,0.6452991276125091
51,7Networks_RH_DorsAttn_Post_6,0.6431802188802243
52,7Networks_RH_Cont_Par_1,0.6426102062897567
53,7Networks_RH_Cont_PFCl_3,0.6412629882128301
54,7Networks_LH_Vis_14,0.6369527555483837
55,7Networks_LH_SomMot_6,0.636117928582657
56,7Networks_LH_Default_PFC_11,0.6282068230460522
57,7Networks_LH_Cont_Cing_2,0.6235017984937277
58,7Networks_RH_DorsAttn_Post_8,0.620866242299252
59,7Networks_LH_Default_Par_4,0.6179128371840825
60,7Networks_LH_Cont_Par_1,0.6062927880858421
61,7Networks_LH_Default_Temp_4,0.6061995058592403
62,7Networks_RH_Vis_12,0.6047878512691549
63,7Networks_RH_SomMot_17,0.603363761561027
64,7Networks_LH_Limbic_OFC_1,0.5999667237590959
65,7Networks_RH_Default_Par_1,0.5984058980949515
66,7Networks_LH_Cont_OFC_1,0.5964142278415315
67,7Networks_LH_DorsAttn_Post_7,0.59592436245807
68,7Networks_RH_Limbic_OFC_1,0.5950334990418564
69,7Networks_RH_Limbic_OFC_3,0.5869343835877265
70,7Networks_LH_Default_Par_3,0.5831063482281761
71,7Networks_RH_Cont_PFCl_5,0.5805260219107783
72,7Networks_RH_Limbic_OFC_2,0.578255326177286
73,7Networks_RH_SomMot_18,0.5715949378427619
74,7Networks_RH_Default_PFCdPFCm_5,0.5660853083704224
75,7Networks_RH_SomMot_16,0.5638646835493482
76,7Networks_RH_Cont_PFCl_1,0.5509051368395095
77,7Networks_LH_Vis_13,0.5474860181765979
78,7Networks_LH_Vis_3,0.5466395030246419
79,7Networks_LH_DorsAttn_Post_9,0.5410950022020136
80,7Networks_LH_SomMot_15,0.5405361707395939
81,7Networks_RH_SalVentAttn_Med_3,0.5385924189730424
82,7Networks_LH_Default_PFC_1,0.5384900687438906
83,7Networks_LH_Default_PFC_4,0.5313638778671839
84,7Networks_RH_Cont_Cing_2,0.5241746529309008
85,7Networks_RH_Default_Temp_4,0.523282111146514
86,7Networks_LH_SalVentAttn_ParOper_3,0.5226504950712312
87,7Networks_LH_SalVentAttn_FrOperIns_1,0.5222803660162693
88,7Networks_RH_Default_Temp_3,0.5202165485094034
89,7Networks_LH_Cont_Par_2,0.5150951257273634
90,7Networks_LH_Default_PFC_9,0.5117995061932704
91,7Networks_RH_Vis_1,0.5103277429066821
92,7Networks_LH_SalVentAttn_PFCl_1,0.5005409467723366
93,7Networks_LH_Cont_PFCl_1,0.498754195733968
94,7Networks_LH_Vis_7,0.49381197355697926
95,7Networks_RH_Default_PFCdPFCm_4,0.49207606042594837
96,7Networks_RH_DorsAttn_FEF_1,0.4908226050550095
97,7Networks_RH_Default_PFCdPFCm_7,0.4900010767768407
98,7Networks_LH_SalVentAttn_ParOper_2,0.4881608623429824
99,7Networks_RH_Cont_Par_3,0.4864299824777464
100,7Networks_LH_Default_PFC_5,0.48055590023596206
101,7Networks_RH_SomMot_7,0.47644174811070295
102,7Networks_RH_Cont_Par_2,0.47358428462468316
103,7Networks_LH_DorsAttn_FEF_2,0.4726266116218076
104,7Networks_LH_Default_PFC_7,0.4671686447833081
105,7Networks_LH_SalVentAttn_Med_3,0.466976569306251
106,7Networks_LH_DorsAttn_Post_4,0.460136966721899
107,7Networks_LH_Default_Temp_3,0.45853315286956703
108,7Networks_LH_Default_PFC_8,0.45506753780139775
109,7Networks_RH_Cont_PFCv_1,0.44851170238737337
110,7Networks_LH_Default_PFC_13,0.44375053908402307
111,7Networks_RH_DorsAttn_Post_1,0.44102104092541883
112,7Networks_LH_DorsAttn_FEF_1,0.43699677036394297
113,7Networks_RH_DorsAttn_Post_9,0.4326024284915145
114,7Networks_RH_Cont_PFCl_7,0.4289854552213439
115,7Networks_RH_Cont_PFCmp_1,0.42653841067874043
116,7Networks_LH_DorsAttn_Post_1,0.4258694643309038
117,7Networks_LH_Cont_Cing_1,0.42347368707217664
118,7Networks_LH_Cont_PFCl_3,0.42132805793101763
119,7Networks_RH_Vis_15,0.42033587616445756
120,7Networks_RH_Default_PFCdPFCm_6,0.41520069954884914
121,7Networks_RH_Cont_PFCmp_2,0.4111929140345166
122,7Networks_RH_DorsAttn_Post_7,0.4058353987581913
123,7Networks_RH_DorsAttn_Post_3,0.40064391343739714
124,7Networks_LH_Default_PHC_1,0.3981235735974519
125,7Networks_RH_Vis_6,0.39684012987041917
126,7Networks_RH_DorsAttn_Post_5,0.395647551735335
127,7Networks_LH_DorsAttn_Post_5,0.3953756457908898
128,7Networks_RH_SalVentAttn_PrC_1,0.39396898176659034
129,7Networks_LH_SomMot_8,0.3926798746971586
130,7Networks_LH_SalVentAttn_Med_1,0.3917736290261086
131,7Networks_LH_Cont_Par_3,0.3895980494261593
132,7Networks_RH_SalVentAttn_Med_1,0.38885605243772425
133,7Networks_LH_Vis_8,0.3865075363535347
134,7Networks_RH_SomMot_8,0.38610122563019256
135,7Networks_RH_DorsAttn_FEF_2,0.38380787732071797
136,7Networks_LH_Cont_pCun_1,0.37859006894556735
137,7Networks_LH_SalVentAttn_FrOperIns_4,0.36980612520377176
138,7Networks_LH_Default_PFC_3,0.3693341226110995
139,7Networks_RH_SomMot_11,0.3692167473836962
