rank,feature,brain_score
1,7Networks_RH_Cont_PFCl_7,0.9580038876755261
2,7Networks_RH_Cont_PFCmp_2,0.9577937102604405
3,7Networks_RH_Limbic_OFC_1,0.945781247554482
4,7Networks_RH_Limbic_TempPole_3,0.9393903809955552
5,7Networks_RH_Cont_PFCl_4,0.9321516198513978
6,7Networks_RH_SomMot_1,0.9245582237347074
7,7Networks_LH_Limbic_TempPole_4,0.8833637820226881
8,7Networks_LH_SomMot_16,0.8826171293019791
9,7Networks_LH_Limbic_TempPole_1,0.8811690840555573
10,7Networks_RH_SomMot_2,0.8565939792145191
11,7Networks_RH_Default_PFCdPFCm_4,0.8485880088479401
12,7Networks_LH_Default_PFC_4,0.8296675318123274
13,7Networks_RH_Limbic_TempPole_2,0.8153751099462665
14,7Networks_LH_Limbic_OFC_2,0.8130096509462462
15,7Networks_RH_Limbic_TempPole_1,0.8074950772286623
16,7Networks_LH_SomMot_2,0.8036366347515395
17,7Networks_RH_Default_PFCdPFCm_5,0.8024556918292238
18,7Networks_RH_SomMot_19,0.7950227561149684
19,7Networks_LH_SomMot_13,0.7931028277268578
20,7Networks_RH_Default_PFCv_1,0.7918717440184523
21,7Networks_RH_Cont_Temp_1,0.7917406119707153
22,7Networks_LH_Limbic_OFC_1,0.7894178998537423
23,7Networks_RH_Limbic_OFC_3,0.7820735298711914
24,7Networks_LH_SomMot_1,0.781567815817281
25,7Networks_LH_Default_pCunPCC_4,0.7674301732756488
26,7Networks_LH_Limbic_TempPole_2,0.7577861713774298
27,7Networks_LH_Default_Temp_2,0.7555318818080581
28,7Networks_RH_SalVentAttn_FrOperIns_1,0.7363821666867365
29,7Networks_LH_SomMot_3,0.7322775776278293
30,7Networks_RH_SalVentAttn_TempOccPar_2,0.7315771199457369
31,7Networks_RH_Limbic_OFC_2,0.726106738161858
32,7Networks_RH_SomMot_17,0.7177126627602911
33,7Networks_RH_Cont_PFCl_1,0.7172565515330235
34,7Networks_RH_Default_Temp_3,0.712309986668279
35,7Networks_LH_DorsAttn_Post_9,0.7119526967339014
36,7Networks_RH_Default_Temp_2,0.7113627275727075
37,7Networks_RH_Default_Temp_4,0.7033576261685784
38,7Networks_LH_Cont_OFC_1,0.6886559840191413
39,7Networks_RH_Default_Temp_5,0.6852467322820525
40,7Networks_RH_Vis_1,0.6847356623271859
41,7Networks_LH_Limbic_TempPole_3,0.6803666051292274
42,7Networks_RH_DorsAttn_Post_9,0.678146222762289
43,7Networks_RH_Vis_6,0.6693037049044507
44,7Networks_RH_DorsAttn_Post_1,0.6676778348080287
45,7Networks_LH_Vis_2,0.663401345327537
46,7Networks_LH_SalVentAttn_Med_2,0.6632430806299001
47,7Networks_LH_DorsAttn_Post_1,0.6628406127108368
48,7Networks_RH_Vis_3,0.6547724970581289
49,7Networks_RH_SomMot_8,0.6529840348631827
50,7Networks_LH_Cont_Temp_1,0.6515975421069813
51,7Networks_LH_SomMot_12,0.6460822440108765
52,7Networks_LH_Vis_5,0.6456024065303202
53,7Networks_RH_SomMot_15,0.6441186147141169
54,7Networks_LH_Cont_PFCl_3,0.6365058054269109
55,7Networks_RH_Default_pCunPCC_3,0.6358465343327898
56,7Networks_RH_SalVentAttn_TempOccPar_1,0.6357510905008819
57,7Networks_LH_Default_PFC_13,0.6236240849472738
58,7Networks_RH_Vis_10,0.6188010808765165
59,7Networks_LH_Cont_PFCl_1,0.6163548429879685
60,7Networks_RH_SalVentAttn_Med_3,0.6138512268685009
61,7Networks_RH_Default_Par_2,0.6028794008789614
62,7Networks_LH_SomMot_5,0.6013723232236569
63,7Networks_RH_SalVentAttn_Med_2,0.5996136925365472
64,7Networks_RH_Cont_PFCv_1,0.5994431943383625
65,7Networks_RH_SomMot_4,0.59613374608595
66,7Networks_LH_SomMot_8,0.5922926528349033
67,7Networks_RH_SalVentAttn_PrC_1,0.5897339572430146
68,7Networks_RH_Default_Temp_1,0.5868584571080847
69,7Networks_LH_SomMot_15,0.5818046432443033
70,7Networks_LH_Default_PFC_10,0.581392844446784
71,7Networks_LH_Vis_7,0.5752956108234863
72,7Networks_RH_Default_pCunPCC_2,0.5687555797475602
73,7Networks_LH_SalVentAttn_PFCl_1,0.5657505146286939
74,7Networks_LH_Cont_Cing_1,0.5460209352847316
75,7Networks_LH_Default_PFC_2,0.545301419211565
76,7Networks_RH_SomMot_18,0.5445331940085905
77,7Networks_LH_DorsAttn_Post_10,0.5434325109250596
78,7Networks_LH_Vis_6,0.537772482378974
79,7Networks_RH_SomMot_3,0.5314787723818806
80,7Networks_LH_Default_PHC_1,0.5270351511809978
81,7Networks_RH_DorsAttn_PrCv_1,0.5245261149876644
82,7Networks_LH_Cont_Cing_2,0.5232909659887696
83,7Networks_RH_Vis_12,0.5227097044830366
84,7Networks_RH_DorsAttn_FEF_1,0.5213821173917198
85,7Networks_LH_SomMot_14,0.5208399097674549
86,7Networks_LH_Cont_Par_2,0.5174531595593317
87,7Networks_RH_SomMot_14,0.5160015292609953
88,7Networks_RH_SalVentAttn_FrOperIns_2,0.5159985602973098
89,7Networks_RH_SomMot_11,0.5137895085370656
90,7Networks_RH_Cont_PFCl_2,0.5012110776195055
91,7Networks_LH_Default_PFC_11,0.5009786165837783
92,7Networks_LH_Cont_PFCl_2,0.49913163800701676
93,7Networks_LH_DorsAttn_Post_8,0.4934816549547373
94,7Networks_LH_SomMot_10,0.4887761242645522
95,7Networks_LH_Default_PFC_5,0.48286846954173585
96,7Networks_RH_Vis_9,0.48259972144950253
97,7Networks_RH_Cont_Cing_2,0.47818636054780517
98,7Networks_LH_Default_pCunPCC_3,0.4778988480495294
99,7Networks_RH_SomMot_12,0.47738822918933266
100,7Networks_LH_Vis_3,0.47703347090990034
101,7Networks_LH_DorsAttn_Post_7,0.4749278674971454
102,7Networks_LH_SomMot_7,0.4638560070495198
103,7Networks_LH_SalVentAttn_Med_3,0.4623167507555098
104,7Networks_RH_SomMot_16,0.4608098299107208
105,7Networks_RH_Cont_PFCl_6,0.45674288093224436
106,7Networks_RH_Cont_Cing_1,0.45141646187596485
107,7Networks_RH_Default_PFCdPFCm_7,0.45023478128651684
108,7Networks_LH_Cont_pCun_1,0.44978118305558423
109,7Networks_RH_SomMot_6,0.4487452862783687
110,7Networks_LH_SalVentAttn_ParOper_1,0.442668617012856
111,7Networks_RH_DorsAttn_Post_2,0.4419980641122567
112,7Networks_LH_DorsAttn_Post_6,0.4414603547825582
113,7Networks_LH_Default_PFC_1,0.4401980989885295
114,7Networks_RH_Default_PFCdPFCm_6,0.4397979775478791
115,7Networks_LH_Default_PFC_12,0.4377288059601527
