rank,feature,brain_score
1,7Networks_RH_Vis_6,0.9603662425711633
2,7Networks_LH_Default_Par_4,0.9088297702402813
3,7Networks_RH_Limbic_TempPole_1,0.905052712526729
4,7Networks_RH_Cont_Temp_1,0.8842798708082831
5,7Networks_LH_Vis_7,0.8827870627609143
6,7Networks_RH_Default_Par_1,0.8784970269366227
7,7Networks_LH_Vis_14,0.8640363597950854
8,7Networks_RH_Cont_Par_3,0.8636557557930248
9,7Networks_LH_Limbic_TempPole_1,0.853068340343229
10,7Networks_LH_Default_Par_2,0.8430770158148405
11,7Networks_LH_Default_Temp_1,0.8421049362792502
12,7Networks_LH_Cont_Par_1,0.8401142437194498
13,7Networks_LH_SomMot_11,0.8391909182039616
14,7Networks_RH_DorsAttn_Post_8,0.8391414421256148
15,7Networks_LH_DorsAttn_Post_2,0.8363012672032828
16,7Networks_RH_Limbic_OFC_3,0.8190783356555575
17,7Networks_RH_Vis_15,0.8171209502507494
18,7Networks_RH_Default_Par_3,0.8154282381455508
19,7Networks_RH_Default_PFCdPFCm_1,0.8132053230957731
20,7Networks_RH_Default_Temp_1,0.808036267634407
21,7Networks_LH_Limbic_OFC_2,0.8077960044335402
22,7Networks_RH_DorsAttn_Post_2,0.8070610222005451
23,7Networks_RH_Limbic_OFC_1,0.8049123117572328
24,7Networks_LH_DorsAttn_Post_7,0.7961828365240889
25,7Networks_RH_Vis_11,0.7959522130354268
26,7Networks_RH_Default_Temp_2,0.7957737301070331
27,7Networks_RH_SomMot_19,0.7954584886485138
28,7Networks_RH_Cont_Par_1,0.7951503388785761
29,7Networks_RH_Vis_12,0.7922238731132962
30,7Networks_LH_Limbic_TempPole_3,0.7846169037892802
31,7Networks_RH_SalVentAttn_FrOperIns_1,0.7808544350433937
32,7Networks_LH_Vis_2,0.7807452892626346
33,7Networks_LH_Default_PFC_4,0.7767603053088025
34,7Networks_LH_DorsAttn_Post_10,0.7765781215752287
35,7Networks_RH_DorsAttn_Post_10,0.7748145262551502
36,7Networks_RH_SomMot_15,0.7723137720069971
37,7Networks_LH_DorsAttn_Post_3,0.7715186962124663
38,7Networks_RH_Vis_5,0.7698440646664919
39,7Networks_RH_Cont_Par_2,0.7602907637571806
40,7Networks_LH_Default_Par_3,0.7595980691357881
41,7Networks_LH_Vis_8,0.7580529889623595
42,7Networks_RH_DorsAttn_Post_6,0.7459023592942985
43,7Networks_LH_Cont_Par_2,0.7382573852507075
44,7Networks_RH_SomMot_16,0.7374412463108366
45,7Networks_RH_Vis_14,0.7363106869656982
46,7Networks_LH_SomMot_16,0.7224863567055401
47,7Networks_LH_Limbic_TempPole_4,0.7217591035482656
48,7Networks_LH_Vis_13,0.7208319382514783
49,7Networks_LH_Vis_3,0.7172840278044748
50,7Networks_LH_DorsAttn_Post_8,0.7104747948832901
51,7Networks_LH_SomMot_13,0.7034709044843035
52,7Networks_RH_SomMot_13,0.7016872827756875
53,7Networks_LH_SomMot_12,0.7005730719839525
54,7Networks_LH_SomMot_14,0.6968439606189987
55,7Networks_RH_Limbic_TempPole_2,0.6950859502070537
56,7Networks_LH_SomMot_9,0.6826850539209018
57,7Networks_RH_Cont_pCun_1,0.6643684723321357
58,7Networks_LH_DorsAttn_Post_6,0.6639013223128482
59,7Networks_RH_Limbic_TempPole_3,0.6499298814211977
60,7Networks_RH_DorsAttn_Post_9,0.6294910561756663
61,7Networks_RH_Vis_13,0.6283228393853395
62,7Networks_LH_Vis_11,0.6075531787237258
63,7Networks_RH_Vis_9,0.6048998119691114
64,7Networks_LH_SalVentAttn_ParOper_3,0.5957425155388355
65,7Networks_LH_Cont_OFC_1,0.5925002344391567
66,7Networks_LH_Cont_pCun_1,0.5859426714780939
67,7Networks_RH_SomMot_10,0.5808305259829026
68,7Networks_RH_SomMot_18,0.5796266332990493
69,7Networks_RH_Default_Par_2,0.555157365115196
70,7Networks_LH_Default_Temp_2,0.5485276216145085
71,7Networks_RH_SalVentAttn_Med_3,0.547620138583001
72,7Networks_RH_SomMot_17,0.5463456674490395
73,7Networks_RH_Cont_PFCl_7,0.5456216527067658
74,7Networks_LH_SomMot_10,0.5339543908769406
75,7Networks_LH_Vis_5,0.5326812213445565
76,7Networks_LH_Cont_Par_3,0.5299739004426375
77,7Networks_LH_Limbic_OFC_1,0.5292945816681832
78,7Networks_RH_DorsAttn_Post_7,0.5289528547081795
79,7Networks_RH_Default_pCunPCC_3,0.5288507647448083
80,7Networks_RH_Vis_3,0.5275441014855541
81,7Networks_LH_Vis_12,0.5255542661674609
82,7Networks_RH_SomMot_14,0.5194628992529791
83,7Networks_LH_SomMot_7,0.5154243067686017
84,7Networks_LH_DorsAttn_Post_5,0.5123578431745058
85,7Networks_LH_Default_PFC_2,0.5088591561546912
86,7Networks_RH_DorsAttn_Post_1,0.508549421600799
87,7Networks_RH_DorsAttn_FEF_2,0.49448032479374104
88,7Networks_LH_Cont_PFCl_2,0.4874629467091784
89,7Networks_RH_Vis_8,0.4866601026690649
90,7Networks_RH_SalVentAttn_PrC_1,0.47438555891842293
91,7Networks_LH_Limbic_TempPole_2,0.4673193360574185
92,7Networks_RH_SomMot_9,0.461214079955075
93,7Networks_RH_DorsAttn_FEF_1,0.458460848194813
94,7Networks_LH_DorsAttn_FEF_2,0.4556649845135411
95,7Networks_LH_Default_PFC_11,0.4550263978726328
96,7Networks_RH_SalVentAttn_TempOccPar_3,0.45289197811328225
97,7Networks_RH_Default_PFCdPFCm_4,0.45047968706595526
98,7Networks_RH_Cont_PFCmp_1,0.4430352967323602
99,7Networks_LH_Default_PFC_6,0.4425322138036153
100,7Networks_LH_DorsAttn_Post_4,0.4375847040492097
101,7Networks_LH_DorsAttn_FEF_1,0.42942791197800473
102,7Networks_RH_Limbic_OFC_2,0.4279789529125842
103,7Networks_LH_Default_Par_1,0.4237934760680674
104,7Networks_RH_Cont_PFCl_1,0.41552746724044987
105,7Networks_LH_DorsAttn_Post_9,0.4147380093139723
106,7Networks_LH_Default_PFC_13,0.4138031080700941
107,7Networks_LH_Vis_4,0.413235518890063
108,7Networks_RH_Default_Temp_4,0.4048180761478166
109,7Networks_RH_SomMot_12,0.4047862927038402
110,7Networks_LH_SomMot_15,0.40077132509157976
111,7Networks_LH_Default_PFC_1,0.3998308877356538
112,7Networks_RH_DorsAttn_Post_4,0.3996743408016863
113,7Networks_RH_Default_PFCdPFCm_2,0.3901565436451711
114,7Networks_LH_Default_PFC_8,0.3883589909515671
115,7Networks_LH_SalVentAttn_ParOper_2,0.38070200375072316
116,7Networks_RH_Cont_PFCv_1,0.3782696038118926
117,7Networks_LH_Vis_9,0.3779095473759974
118,7Networks_LH_SalVentAttn_Med_3,0.3748627284461796
119,7Networks_RH_SalVentAttn_Med_1,0.3725001634871171
120,7Networks_LH_SalVentAttn_Med_2,0.37175579875304715
121,7Networks_RH_SalVentAttn_FrOperIns_2,0.36767285972727026
122,7Networks_RH_Default_Temp_3,0.3668764426612835
123,7Networks_RH_SomMot_7,0.3629712793517858
124,7Networks_RH_Default_PFCdPFCm_3,0.3627010785857992
125,7Networks_RH_DorsAttn_Post_3,0.3604091207394489
126,7Networks_RH_SomMot_11,0.3603458902431932
127,7Networks_LH_SomMot_1,0.357050207849035
128,7Networks_LH_Default_PFC_7,0.35660438657993315
129,7Networks_LH_Cont_PFCl_5,0.3532483163040976
130,7Networks_RH_SalVentAttn_Med_2,0.3522601502741999
131,7Networks_LH_SalVentAttn_FrOperIns_1,0.35058712856818175
132,7Networks_LH_Default_Temp_3,0.34989617425394737
133,7Networks_LH_Vis_10,0.3382685173579203
134,7Networks_LH_Default_PFC_9,0.3366611347033128
135,7Networks_LH_SalVentAttn_FrOperIns_3,0.3360950039009183
136,7Networks_RH_SalVentAttn_TempOccPar_2,0.33128470401171284
137,7Networks_RH_Vis_4,0.3280197305793221
138,7Networks_LH_SomMot_6,0.3259281262221312
139,7Networks_RH_DorsAttn_Post_5,0.3242288991012581
140,7Networks_LH_SomMot_3,0.32140431097067695
141,7Networks_RH_Vis_7,0.3177286408987991
142,7Networks_RH_Vis_1,0.3146814704821323
143,7Networks_RH_SomMot_2,0.3135887827160251
144,7Networks_LH_Cont_Temp_1,0.30919477919864286
145,7Networks_RH_Default_PFCv_1,0.30846228539316994
146,7Networks_LH_Cont_PFCl_1,0.3042637364222422
147,7Networks_RH_Cont_PFCl_6,0.30378947582815247
148,7Networks_RH_SalVentAttn_FrOperIns_4,0.30315420100265855
149,7Networks_LH_SalVentAttn_PFCl_1,0.30263017351748606
150,7Networks_RH_Cont_Cing_2,0.30247154769714757
151,7Networks_RH_Cont_PFCmp_2,0.3015362429549701
152,7Networks_RH_Default_PFCdPFCm_7,0.3014058159881651
153,7Networks_RH_Vis_10,0.2984312733022659
154,7Networks_RH_SalVentAttn_TempOccPar_1,0.29821729731449026
155,7Networks_RH_SomMot_5,0.297731452202014
156,7Networks_LH_Default_PHC_1,0.2956825087673969
157,7Networks_LH_SalVentAttn_FrOperIns_2,0.2945258288841437
158,7Networks_LH_Default_pCunPCC_4,0.2866497871023327
159,7Networks_RH_SomMot_6,0.28641876085875295
160,7Networks_LH_Default_PFC_3,0.28557326888747714
161,7Networks_LH_SalVentAttn_FrOperIns_4,0.2834359133934573
162,7Networks_RH_Vis_2,0.2826004792586362
163,7Networks_RH_Cont_PFCl_2,0.27994754917692316
164,7Networks_RH_SalVentAttn_FrOperIns_3,0.2791671143325879
165,7Networks_RH_Default_PFCdPFCm_5,0.275118759439157
166,7Networks_RH_Cont_PFCl_5,0.2740413714693849
167,7Networks_LH_Cont_PFCl_4,0.2713834753318096
168,7Networks_RH_Default_Temp_5,0.26808779967298035
169,7Networks_LH_Default_PFC_12,0.26787554267046715
170,7Networks_LH_Default_PFC_10,0.266428217618036
171,7Networks_RH_SomMot_8,0.2654041665038017
172,7Networks_LH_SomMot_4,0.2636211990292526
173,7Networks_LH_SalVentAttn_ParOper_1,0.2604470757299966
174,7Networks_LH_Vis_6,0.259998263999144
175,7Networks_RH_DorsAttn_PrCv_1,0.2566408073685839
176,7Networks_LH_SalVentAttn_Med_1,0.2544676760516331
177,7Networks_LH_DorsAttn_PrCv_1,0.24876505572290497
178,7Networks_LH_Default_Temp_5,0.24604068902046888
179,7Networks_RH_SomMot_3,0.2427265501300182
180,7Networks_RH_Cont_Cing_1,0.24159198024511971
181,7Networks_RH_Cont_PFCl_4,0.2413975707942205
182,7Networks_LH_SomMot_5,0.24092630391185196
183,7Networks_LH_Cont_PFCl_3,0.23870525112141697
184,7Networks_LH_Default_PFC_5,0.23765716368974985
185,7Networks_LH_SomMot_8,0.2353359107686583
186,7Networks_RH_SomMot_1,0.23525700878538905
187,7Networks_LH_Default_pCunPCC_3,0.2337207997850214
188,7Networks_LH_Default_Temp_4,0.23313542873269671
189,7Networks_LH_Default_pCunPCC_1,0.23045593609044684
190,7Networks_RH_Default_PFCdPFCm_6,0.23011028585965201
191,7Networks_RH_Default_pCunPCC_1,0.22890318166456408
192,7Networks_LH_Cont_Cing_2,0.22622352875692425
193,7Networks_LH_SomMot_2,0.22563283309334717
194,7Networks_LH_DorsAttn_Post_1,0.2208435905215983
195,7Networks_LH_Vis_1,0.21317700229945505
196,7Networks_LH_Default_pCunPCC_2,0.20236326090530546
197,7Networks_RH_Default_pCunPCC_2,0.2004096937222931
198,7Networks_LH_Cont_Cing_1,0.1968154972385717
199,7Networks_RH_SomMot_4,0.19399974710322004
200,7Networks_RH_Cont_PFCl_3,0.18904238920087696
